"nameLast","nameFirst","playerID","Age","year","reliability","mPA","mAB","mR","mH","m2B","m3B","mHR","mRBI","mSB","mCS","mBB","mSO","mIBB","mHBP","mSH","mSF","mGIDP"
"Sanders","Reggie","sandere02",37,2004,0.84,506.00,453.00,71.00,119.00,23.00,4.00,25.00,79.00,13.00,5.00,41.00,109.00,4.00,7.00,1.00,4.00,8.00
"Santangelo","F.P.","santafp01",37,2004,0.18,200.00,175.00,26.00,44.00,9.00,1.00,5.00,22.00,3.00,1.00,18.00,33.00,1.00,4.00,1.00,2.00,4.00
"Santiago","Benito","santibe01",39,2004,0.83,469.00,432.00,49.00,115.00,22.00,3.00,11.00,56.00,3.00,2.00,28.00,72.00,3.00,2.00,3.00,4.00,16.00
"Santiago","Ramon","santira01",25,2004,0.75,478.00,421.00,51.00,104.00,17.00,3.00,6.00,38.00,10.00,5.00,33.00,70.00,1.00,10.00,11.00,3.00,8.00
"Santos","Angel","santoan01",25,2004,0.28,240.00,215.00,30.00,56.00,11.00,2.00,7.00,26.00,3.00,2.00,19.00,43.00,1.00,2.00,2.00,2.00,4.00
"Santos","Francisco","santofr01",30,2004,0.06,208.00,187.00,26.00,49.00,11.00,1.00,6.00,24.00,3.00,1.00,17.00,34.00,1.00,2.00,1.00,1.00,4.00
"Sardinha","Dane","sardida01",25,2004,0.01,201.00,179.00,26.00,49.00,10.00,1.00,6.00,24.00,3.00,1.00,18.00,32.00,1.00,2.00,1.00,1.00,4.00
"Saturria","Luis","saturlu01",28,2004,0.01,200.00,179.00,25.00,48.00,10.00,1.00,6.00,24.00,3.00,1.00,17.00,32.00,1.00,2.00,1.00,1.00,4.00
"Schneider","Brian","schnebr01",28,2004,0.71,412.00,366.00,42.00,94.00,27.00,2.00,10.00,51.00,2.00,2.00,39.00,72.00,8.00,2.00,2.00,3.00,11.00
"Scutaro","Marco","scutama01",29,2004,0.34,249.00,220.00,29.00,55.00,11.00,1.00,7.00,27.00,4.00,2.00,23.00,42.00,3.00,2.00,2.00,2.00,5.00
"Seabol","Scott","seabosc01",29,2004,0.00,200.00,179.00,25.00,48.00,10.00,1.00,6.00,24.00,3.00,1.00,17.00,32.00,1.00,2.00,1.00,1.00,4.00
"Sears","Todd","searsto01",29,2004,0.28,242.00,216.00,30.00,57.00,12.00,1.00,6.00,29.00,2.00,1.00,20.00,42.00,1.00,3.00,1.00,2.00,7.00
"Sefcik","Kevin","sefcike01",33,2004,0.00,200.00,179.00,25.00,47.00,9.00,1.00,6.00,23.00,3.00,1.00,17.00,32.00,1.00,2.00,1.00,1.00,4.00
"Segui","David","seguida01",38,2004,0.69,337.00,297.00,39.00,79.00,15.00,1.00,8.00,39.00,2.00,1.00,35.00,60.00,3.00,2.00,1.00,2.00,7.00
"Seguignol","Fernando","seguife01",29,2004,0.14,204.00,182.00,22.00,45.00,9.00,1.00,5.00,23.00,2.00,1.00,17.00,37.00,2.00,2.00,1.00,2.00,5.00
